"filename", "language", "TypeScript JSX", "Makefile", "TypeScript", "CSS", "JavaScript", "JSON with Comments", "Markdown", "JSON", "XML", "comment", "blank", "total"
"/Users/kuben/projects/surge/surgelight/src/components/ui/popover.tsx", "TypeScript JSX", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"/Users/kuben/projects/surge/surgelight/src/components/ui/progress.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/kuben/projects/surge/surgelight/src/components/ui/radio-group.tsx", "TypeScript JSX", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
"/Users/kuben/projects/surge/surgelight/src/components/ui/resizable.tsx", "TypeScript JSX", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 57
"/Users/kuben/projects/surge/surgelight/src/components/ui/scroll-area.tsx", "TypeScript JSX", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 59
"/Users/kuben/projects/surge/surgelight/src/components/ui/select.tsx", "TypeScript JSX", 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 186
"/Users/kuben/projects/surge/surgelight/src/components/ui/separator.tsx", "TypeScript JSX", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/kuben/projects/surge/surgelight/src/components/ui/sheet.tsx", "TypeScript JSX", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 140
"/Users/kuben/projects/surge/surgelight/src/components/ui/sidebar.tsx", "TypeScript JSX", 661, 0, 0, 0, 0, 0, 0, 0, 0, 12, 55, 728
"/Users/kuben/projects/surge/surgelight/src/components/ui/skeleton.tsx", "TypeScript JSX", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/kuben/projects/surge/surgelight/src/components/ui/slider.tsx", "TypeScript JSX", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 64
"/Users/kuben/projects/surge/surgelight/src/components/ui/sonner.tsx", "TypeScript JSX", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"/Users/kuben/projects/surge/surgelight/src/components/ui/switch.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/kuben/projects/surge/surgelight/src/components/ui/table.tsx", "TypeScript JSX", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 117
"/Users/kuben/projects/surge/surgelight/src/components/ui/tabs.tsx", "TypeScript JSX", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 67
"/Users/kuben/projects/surge/surgelight/src/components/ui/textarea.tsx", "TypeScript JSX", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/kuben/projects/surge/surgelight/src/components/ui/toggle-group.tsx", "TypeScript JSX", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 74
"/Users/kuben/projects/surge/surgelight/src/components/ui/toggle.tsx", "TypeScript JSX", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48
"/Users/kuben/projects/surge/surgelight/src/components/ui/tooltip.tsx", "TypeScript JSX", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 62
"/Users/kuben/projects/surge/surgelight/src/env.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 23, 4, 41
"/Users/kuben/projects/surge/surgelight/src/features/campaigns/analytics/CampaignAnalyticsPage.tsx", "TypeScript JSX", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/Users/kuben/projects/surge/surgelight/src/features/campaigns/analytics/components/AnalyticsClient.tsx", "TypeScript JSX", 682, 0, 0, 0, 0, 0, 0, 0, 0, 31, 43, 756
"/Users/kuben/projects/surge/surgelight/src/features/campaigns/analytics/index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"/Users/kuben/projects/surge/surgelight/src/features/campaigns/create/CampaignCreatePage.tsx", "TypeScript JSX", 358, 0, 0, 0, 0, 0, 0, 0, 0, 19, 49, 426
"/Users/kuben/projects/surge/surgelight/src/features/campaigns/create/components/CampaignInfo.tsx", "TypeScript JSX", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 79
"/Users/kuben/projects/surge/surgelight/src/features/campaigns/create/components/ContentThemes.tsx", "TypeScript JSX", 85, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 90
"/Users/kuben/projects/surge/surgelight/src/features/campaigns/create/components/GenreSelection.tsx", "TypeScript JSX", 62, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 72
"/Users/kuben/projects/surge/surgelight/src/features/campaigns/create/components/ImageAssets.tsx", "TypeScript JSX", 99, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 108
"/Users/kuben/projects/surge/surgelight/src/features/campaigns/create/components/LyricVideoOverlay.tsx", "TypeScript JSX", 94, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 103
"/Users/kuben/projects/surge/surgelight/src/features/campaigns/create/components/SongAudio.tsx", "TypeScript JSX", 130, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 148
"/Users/kuben/projects/surge/surgelight/src/features/campaigns/create/components/SongDetails.tsx", "TypeScript JSX", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 46
